;Английский;Математика;Информатика;Машиностроение;Дизайн;СММ;Бухгалтерия;Продажи;Правильное питание;Психология;Педагогика;Кулинария;Столярное дело;Электтоника
макс балл;80;100;92;112;82;100;120;60;70;82;84;77;86;130
;;;;;;;;;;;;;;
Барндык;;34;71;47;72;75;65;34;61;10;17;74;5;122
Веточкин;;90;3;34;78;52;33;51;51;21;;60;;95
Горбачёв;14;71;54;45;23;26;80;22;18;1;;;;96
Горохов;22;85;69;;60;47;100;11;;50;;;;
Емельянов;51;45;90;97;3;78;;;20;12;80;;43;
Коржев;72;23;41;32;59;79;32;;29;43;21;;78;
Котов;65;17;52;;73;71;80;;;;45;;;65
Крысов;;66;18;;79;93;74;;;;33;;47;130
Куимов;;;;;;63;81;;;;;;;40
Лапотников;;;;;43;24;111;;48;;;;48;66
Лачков;42;;;;76;29;36;;48;67;;;35;
Ляпин;35;;;;11;48;16;;23;76;;36;;
Набатов;75;;;;23;87;79;52;3;17;43;36;;
Островерхов;15;;;83;21;55;;38;34;;74;32;;
Перфильев;42;;;33;7;97;;18;;;41;;;
Пищальников;62;76;;27;25;30;;14;;;31;39;;12
Рубашкин;28;45;47;31;78;;;53;;;;19;;
Рыжов;61;79;42;17;81;;64;37;;;;15;;110
Сoкин;;56;64;;43;;90;54;;24;;;;70
Савинков;;91;89;;40;;83;;52;59;;;;
Скворцов;;49;8;;;;94;;26;81;45;;;
Стегнов;;;80;;;;116;;66;20;79;;;
Счастливцев;13;;21;84;70;21;64;;8;71;68;;;
Табаков;32;;80;107;2;72;96;54;;39;;69;51;
Тимошкин;45;;;31;57;32;118;49;50;;;11;4;
Толбанов;40;;;38;58;49;24;44;9;;;62;47;
Чекмарёв;25;87;;108;34;28;14;47;52;48;27;;15;
Чекудаев;66;2;;;10;36;35;58;;73;20;62;47;121
Чиграков;63;72;63;;81;41;32;1;31;57;10;;44;54
Экель;70;6;86;;14;15;75;20;13;50;21;1;12;93
