;1;2;3;4;5;6;7;8;9;10;11;12
Петров;23782;38207;32792;35597;39052;41216;37384;26324;30962;35027;34894;25996
;32318;38103;39942;27114;31484;42356;35605;47874;37207;30352;42371;43147
Иванов;32311;31605;39338;42880;24428;36460;31565;44336;23629;45432;44958;30688
;36575;38606;42992;24875;37489;38088;27525;28051;47925;37759;23791;45105
Сидоров;38709;43543;35504;32103;35461;42749;27042;49635;33441;33602;24234;32188
;20051;30696;44213;24603;20299;23480;44265;20696;47508;20181;35535;24805
Петренко;47311;41912;46682;30985;33896;30756;42210;28359;34651;34534;30381;37128
;47749;47718;36401;43592;43328;24948;42632;45987;46619;26906;20484;49189
Иваненчко;22533;42576;22315;33349;39338;49168;20369;29184;31435;20730;23319;24752
;38103;24659;25050;38139;35401;29747;35850;26991;32873;27841;49334;29404
Сидорченко;48521;48987;27127;45328;39207;25313;21043;36528;22967;45319;47266;42144
;40166;31264;47208;32673;39757;33922;38289;29571;20194;36489;42646;43301
Перушкин;46390;37324;29659;44743;30742;42799;29556;22886;31962;33027;35477;29723
;20383;43330;29797;26575;30775;23823;36756;34348;46376;43049;23805;21377
Иванушкин;29509;37438;34320;21033;42614;35093;26854;34628;26854;46728;39633;48502
;38929;47486;24252;22015;33215;25665;31479;20330;27547;26369;34490;30837
Сидоровец;47199;39811;27233;28473;28437;28884;47642;33619;24215;42074;32913;26100
;46814;37480;38630;46855;36587;45148;26833;24339;22215;44967;38344;37588
Иванец;38360;46884;31422;29459;36724;28752;44505;45122;38265;40788;21575;35832
;46852;29112;29780;26110;25040;49812;49028;35219;35493;40022;21097;26218
Петерсон;30042;37260;45048;20317;30997;40942;37085;35044;27142;46317;25720;38165
;28534;26937;26324;47522;26351;36716;25604;27537;46794;38391;23931;27957
Сидко;35154;21409;38027;22910;20505;43236;33133;30682;31847;21885;35732;32856
;39149;49618;20517;35096;41365;36390;37040;32485;47077;46962;25597;26689
Иванко;45503;49774;32551;30175;34373;30379;39850;28277;21961;21119;42988;25229
;32760;38169;38448;30260;25327;32857;43048;30748;35711;27785;43321;21872
Петуров;31883;32921;45858;39866;32716;39015;38347;40058;22374;21948;47163;35452
;37706;48620;26567;46069;37029;20408;48177;45053;44259;26178;36538;33645
Сидин;28817;26438;22248;33774;33348;48199;34925;28499;47104;22710;45179;38461
;21877;34541;20628;28883;39516;31115;20766;27180;34893;49011;21921;20608
